word,type,cefr,definition,example,Synonyms,Antonyms,Rhymes,Related
leap,verb,c1,to jump high or a long way,#NAME?,"jump, bounce, spring, bound, hop",,"creep, keep, sweep, sleep, deep","proleptic, adar, divisible, calendar, julian"
legacy,noun,c1,money or property that is given to you by somebody when they die,They each received a legacy of $5â000.,"bequest, inheritance, intestacy, testament, inherit",,,"kain, generations, virus"
legend,noun,b2,"a story from ancient times about people and events, that may or may not be true; this type of story",The film is based on the legend of Robin Hood.,"fable, caption, storytelling, legendary, tale",,"alldredge and, allege and, blackledge and, cartledge and, dredge and","earp, sleepy, shiva, vishnu, wyatt"
legendary,adjective,c1,very famous and talked about a lot by people,a legendary figure,"fabled, known, unreal, fabulous, legend",,"dictionary, cherry, arbitrary, contemporary, ancillary","mon, creature, saga, dots, hero"
legislation,noun,c1,a law or a set of laws passed by a parliament,an important piece of legislation,"lawmaking, statute law, legislating, legislative, legislate",,"communication, information, operation, education, implication","dictates, enacted, wellness, repealed, statutory"
legislative,adjective,c1,connected with the act of making and passing laws,a legislative assembly/body/council,"legislate, lawmaking, legislation, ordinance, legislated",,"creative, native, innovative, iterative, authoritative","unicameral, assembly, bicameral, constituencies, constituency"
legislature,noun,c1,a group of people who have the power to make and change laws,a democratically elected legislature,"general assembly, law-makers, legislative assembly, legislator, lawmaking",,"nature, nomenclature, denature, by nature, law of nature","bicameral, adjourned, unicameral, convened, veto"
legitimate,adjective,c1,for which there is a fair and acceptable reason,a legitimate grievance,"lawful, legitimatize, legitimize, valid, legal","outlaw, illegitimate, criminalize, illegalize",illegitimate,"illegitimate, expectation, heir, heirs, legitimacy"
lengthy,adjective,c1,"very long, and often too long, in time or size",lengthy delays,"drawn-out, prolonged, protracted, extended, long",,lengthy e,"refit, delays, negotiations, illness, hiatus"
lens,noun,b2,"a curved piece of glass or plastic that makes things look larger, smaller or clearer when you look through it",a pair of glasses with tinted lenses,"crystalline lens, electron lens, genus lens, lens system, eyepiece",,"friends, cleanse, sens, benz, trends","telephoto, lenses, eyepiece, viewfinder, magnification"
lesbian,adjective,c1,sexually attracted to other women; connected with lesbians,the lesbian and gay community,"sapphic, homosexual, gay woman, gay, bisexual",,,"bisexual, transgender, gay, lgbt, intersex"
lesser,adjective,c1,"not as great in size, amount or importance as something/somebody else",people of lesser importance,"small, minimum, minimal, inferior, minor",greater,"predecessor, professor, processor, lessor, successor","antilles, extent, tarn, poland, horseshoe"
lethal,adjective,c1,causing or able to cause death,She had been given a lethal dose of poison.,"deadly, fatal, mortal, life-threatening, destructive",,"nonlethal, blackheath hill, heath hill, keith hill, leith hill","lockdown, injection, dose, electrocution, roh"
liable,adjective,c1,legally responsible for paying the cost of something,You will be liable for any damage caused.,"responsible, apt, likely, susceptible, unresistant",,"viable, reliable, pliable, friable, unreliable","contributory, negligent, negligence, torts, tort"
liberal,adjective,c1,"willing to understand and respect other peopleâs behaviour, opinions, etc., especially when they are different from your own; believing people should be able to choose how they behave",liberal attitudes/views/opinions,"progressive, neoliberal, reformist, liberalistic, welfarist","conservative, conservativist","neoliberal, dibrell","democrats, democrat, liberalism, candidate, party"
liberal,noun,c1,"a person who understands and respects other peopleâs opinions and behaviour, especially when they are different from their own",He liked to think of himself as a liberal.,"progressive, neoliberal, reformist, liberalistic, welfarist","conservative, conservativist","neoliberal, dibrell","democrats, democrat, liberalism, candidate, party"
liberation,noun,c1,the act or process of freeing a country or a person from the control of somebody else,a war of liberation,"release, discharge, dismissal, sack, sacking",,"communication, information, operation, education, implication","plo, pla, angola, elf, alf"
liberty,noun,c1,freedom to live as you choose without too many limits from government or authority,the fight for justice and liberty,"indecorum, impropriety, familiarity, autonomy, shore leave",,,"conscience, equality, libertarian, bowl, flames"
license,verb,c1,"to give somebody official permission to do, own, or use something","license something, The new drug has not yet been licensed in the US.","certify, permission, permit, licence, licensure","decertify, derecognize","licence, advice since, apply since, buy since, comply since","bsd, fcc, gnu, revoked, licensee"
lifelong,adjective,c1,lasting or existing all through your life,Paul became his lifelong friend.,"long, womb-to-tomb, lifetime, sustained, perennial",,"along, long, strong, wrong, song","smoker, fascination, friendship, adolescents, enthusiast"
lifetime,noun,b2,the length of time that somebody lives or that something lasts,a lifetime of experience,"lifespan, life, longevity, lifelong, chronic",,"time, paradigm, sublime, rhyme, prime","achievement, award, achievements, posthumously, contribution"
lighting,noun,b2,the arrangement or type of light in a place,electric/natural lighting,"ignition, kindling, firing, lamp, backlight","dark, darkness","writing, exciting, fighting, biting, whiting","incandescent, fixtures, fluorescent, candles, bulbs"
likelihood,noun,c1,the chance of something happening; how likely something is to happen,There is very little likelihood of that happening.,"likeliness, odds, probability, likely, eventuality","unlikelihood, unlikeliness","good, wood, should, hood, would","estimator, estimation, bayesian, statistic, inference"
likewise,adverb,b2,the same; in a similar way,He voted for the change and he expected his colleagues to do likewise.,"similarly, alike, too, as well, besides",,"arise, analyze, rise, advise, compromise",
limb,noun,c1,"an arm or a leg; a similar part of an animal, such as a wing",an artificial limb,"boughed, sharp-limbed, leg, paw, arm",,"synonym, swim, grim, trim, whim","ischaemia, libration, tourniquet, amputation, forelimb"
limitation,noun,b2,the act or process of limiting or controlling somebody/something,They would resist any limitation of their powers.,"limit, restriction, limiting, limited, limiter",,"communication, information, operation, education, implication","revocation, armaments, liability, limitations, restriction"
